,nickname,text,score,like,dislike,time,watch_movie
0,냥냥이(slam****),크리스가 2층으로 올라갈때 떠들썩하던 1층사람들 갑자기 조용해질때 소름 이장면이 제일 무서웠음,7,5947,268,2017-05-18 14:32:00,0
1,hhl4****,마지막에 경찰차가 오자 자연스럽게 두손을 드는 주인공의 모습이 슬펐음 차별을 당연시 여기는 느낌이라..,10,5491,293,2017-05-19 15:49:00,0
2,9759(yona****),"와, 초반에 여친이 흑인남친 면허증 안보여 주려고 했던거 설계였네 경찰한테 꼬리 잡힐까봐,, 백인경찰이 편견으로 흑인 검문 때리는 줄 알았는데 지리네 설계",8,4706,368,2017-05-17 02:05:00,0
3,ㅇㅇ(pon8****),경찰차가 왔을때 모두 다 긴장했을듯 ㅋ,10,4282,312,2017-05-17 01:31:00,0
4,84억 김똑딱(horn****),근데 여자애는 그렇게 중요한 사진을 그리 대충 보관하냐,9,4364,724,2017-05-17 07:51:00,0
5,dog6****,다시는 커피 못저어먹는 영화,10,3798,218,2017-05-17 07:35:00,0
6,탱(mjka****),영화에서 그인간들 ㅋ. 왜그렇게 주인공이 담배를 못피게 하는지 나중에 생각해 보면 참 ㅋ 무섭다 ㅋ,10,3494,88,2017-05-18 16:31:00,0
7,dddudd(1028****),반전잼 !! 음악도 좋았고 영화에 나오는 뚱띠 흑인친구 겁나웃김ㅋㅋㅋ,10,3009,169,2017-05-17 14:54:00,관람객
8,목없는사슴(57sw****),한편으로는 흑인이라는 이유로 차별을 받고 한편으로는 그들의 신체적 우월함을 동경하는 아이러니함 코미디중의 코미디 신선했다,10,2791,56,2017-05-18 15:36:00,0
9,융더(sdfp****),솜뭉치 하드캐리...,10,2759,53,2017-05-17 23:34:00,0
10,다소미(kqwe****),흑인여배우 연기 소름끼침 눈은우는데 입은웃고있어..,10,2665,31,2017-05-19 15:05:00,0
11,ongj****,이 영화는 특히 결말과 함께 곱씹어 보는 복선들을 다시 생각해 보면 소름돋을듯.. 미쳤음,10,2567,135,2017-05-17 02:47:00,0
12,프시카(whrl****),옆자리 사람이 뭐 나올때마다 펄쩍펄쩍 뛰어서 활어인줄,9,2199,54,2017-05-20 12:21:00,관람객
13,niki****,예고편 만든 사람 해고각이다... 스토리 반전.. 영화안 번뜩이는 장면 모두를 담아냈네 ㄷㄷ,8,2059,135,2017-05-17 00:58:00,0
14,칼토스(kalt****),근래 보기 드문 수작이다 배우만 내새우는 쓰레기 한국영화 보다가 스토리 연출 반전 완벽하게 떨어지는 영화다운 영화를 봤다,10,1998,151,2017-05-17 03:42:00,0
15,오래오래(lema****),"사슴,모자,휴대폰, 소품들의 치밀함 그리고 대사까지도 놀라울 따름이다. 이건  괴기스러움을  넘어서는 새로운 느낌이다.",9,1754,101,2017-05-17 02:48:00,0
16,king세종king(king****),겟아웃이 '여기서 꺼져'가 아니라 '여길 나가'였을줄은...,10,1661,47,2017-05-20 01:53:00,0
17,표야(pyoy****),감독이 천재인가.. 모든장면이 다 이유가 있엇다는거,10,1667,83,2017-05-17 02:29:00,0
18,욱(loop****),여자애가 우유랑 콘푸로스트 따로먹는게 백인이랑 유색인종이랑은 섞일 수 없다는걸 암시한다는 리뷰 보고 경악했다 ㅋㅋ,9,1527,32,2017-05-23 16:18:00,0
19,siri(siri****),아무리 설명해줘도 모를거야 진심 직접 봐야함,10,1516,77,2017-05-17 13:29:00,관람객
20,박준식(fahr****),교통경찰이최고시다!!!,10,1241,39,2017-05-17 22:58:00,관람객
21,게임하는여왕님(ange****),"나름 신선한소재, 약간 후반부가 빠르게 정리된느낌으로... 아쉽게끝이나네요..",8,1216,90,2017-05-17 23:55:00,관람객
22,하하(bree****),Picking cotton 솜을뜯다 = 목화를따다 같은 의미를 두고있는데 이를 이용해 흑인들이 목화를 따며 생명을 연장하듯 솜을 뜯으며 생명을 연장하는 연출을 보며 천재적인 연출에 소름이 쫘아아악~~ 모든 장면이 의...,10,1088,33,2017-05-21 11:43:00,0
23,음야(styt****),마지막까지 친구가 배신하는줄ㅋㅋ,8,1016,57,2017-05-18 16:46:00,0
24,헤일리(wkdg****),오랜만에 보는 천재적인 영화,10,1020,77,2017-05-17 13:57:00,관람객
25,아지뱀(yhoc****),예고편 보고 보지 마세요,8,923,68,2017-05-17 10:38:00,0
26,베이비그루트(hyel****),남자 주인공 진짜 매력쩜ㅋㅋㅋ첫장면부터 훠우~! 소리지르게됨 (물론 속으로),10,902,57,2017-05-17 14:06:00,관람객
27,샤먼(ehdw****),영화는 시종일관 음울한 분위기를 유도한다. 보는내내 불편한 기분이 들지만 그와는 별개로 짜임새있는 구성과 지속적으로 던져지는 떡밥에 왜? 저런 장면이 나오는가 하며 영화에 몰입하게 만든다. 영화를 보고나면 누군가와 ...,10,869,53,2017-05-17 21:27:00,관람객
28,백승길(bbac****),애인보다 좋은친구를 두어야 한다~,10,765,13,2017-05-20 23:41:00,0
29,aga1****,감독이 숨겨놓은 연결고리들과 나오는 사람들 표정하나하나 왜그랬는지 알면 개소름,10,773,37,2017-05-17 10:45:00,0
30,hun(wjh9****),"흑인들이 주먹으로 인사하는데 그걸 초대받은 흑인이 손잡는거보고 이게복선이라는걸 영화끝에느낌 소름,",10,756,30,2017-05-17 23:58:00,0
31,무소유(okho****),감독이 관객한테 던져놓은 과제가 수십가지..,10,847,129,2017-05-17 02:46:00,0
32,인또(yong****),"여기다가써봐야 누가보겠냐만은 베스트댓글?에 여자애는 중요한사진을 대충보관하냐~써있길래 씁니다. 수술받기로한 짐허드슨이 영상통화할때 말해줍니다. 1,2,3단계가있는데 2단계가 ""이 상황에대한인지""라고, ...",10,695,13,2017-05-30 18:44:00,0
33,대박(dkyi****),여자하인은 진짜 첨부터 끝까지 섬뜩 -ㅅ- ;,10,686,10,2017-05-18 13:52:00,0
34,너구리(jas1****),여자하녀 웃으면서 눈물 흘리는 연기가 제일 인상적이였다. 빙고 할 때 처음에 뭐하는건가 싶었는데 앞에 사진 걸려 있는거 보고 소름,8,688,13,2017-05-21 14:11:00,0
35,한동근(dkbo****),이젠 뻔한 공포보단 이런 심리스릴러가 더 호러스럽다,10,685,17,2017-05-18 19:04:00,0
36,나그네(yglm****),한시간 반짜리 영화인데 무슨 30분 영화인줄 엄청 몰입감 최고였다.,10,671,24,2017-05-18 13:53:00,0
37,찝찝(44ma****),극후반 10분 최후의 경찰차 장면에서 관객은 모두 같은 것을 예상하죠.주인공이 백인이었다면 희망적이었을 그 장면이흑인이기 때문에 절망적이 되는 간접 체험을 하게 됩니다.그것이모든걸말해주는것같네요,10,614,10,2017-05-29 21:54:00,0
38,요마(yoma****),남자주인공 매력있음 빨간눈이 터질듯,10,613,33,2017-05-17 23:14:00,관람객
39,kje0****,흔하지않은 소재와 괜찮은 연출임 간만에 재밌게봄,9,592,42,2017-05-17 00:31:00,0
40,pain****,예상을 어느정도 해도 첨부터 쌓아올린 긴장감에 인물관계도 에 결말까지는 절대 집중해서 보지않고는 제대로 봤다고 할수 없는 영화,10,607,68,2017-05-17 02:31:00,0
41,막내4차원(dbsk****),"흑인이 플래쉬때문에 최면 풀렸을때 나가,도망가라고 하던게 처음으로 소름돋았음..  2층 올라갈때 사람들 싹 조용해지는것도.. 그리고 최고는 로즈가 차키찾으면서 울먹이다가 무표정으로 줄 수 없다고 말할때 진짜 대박이...",10,522,13,2017-05-20 15:36:00,0
42,썽썽힛(ssss****),감독 돌았ㅋㅋㅋㅋ 끝까지 소오름!,10,536,48,2017-05-17 13:59:00,관람객
43,rlaw****,개무섭다ㅜㅜ진짜재밋는데 찝찝하고짜증남..,10,512,55,2017-05-17 20:25:00,관람객
