,nickname,text,score,like,dislike,time,watch_movie
0,redb****,폭설내리는밤 경찰이 두번째로 주인공이 몰고가는 차를 세웠을때 우린 경찰의 대사나 행동을 예측했을 것이다. 하지만 그 예측 자체가 영화보는내내 우리에게 생긴 편견임을 알고 뒤통수를 맞은 느낌이었다!,10,3462,116,2019-01-11 20:01:00,0
1,매직아워(eilo****),"우리가 말모이와 스윙키즈처럼 중요한 역사적 소재에 빚지고도 허구의 신파 한가득 버무려놓아 눈물 쥐어짠 걸 의미있는 영화라 자아도취해 있을 동안, 헐리우드는 실화 소재로 이런 '작품'을 배출하는 경지에 ...",10,1957,248,2019-01-13 13:35:00,0
2,rgh1****,"하.. 이런 영화가 상영관수, 상영시간을 많이 늘려야 되는데.. 진짜 예고편만 화려한 거품영화만 너무 독차지 하고있으니..아쉽",10,1729,38,2019-01-10 02:28:00,0
3,유네(khw0****),보고나면 KFC 치킨이 존나 떙기는 영화임..,10,1516,94,2019-01-09 15:29:00,0
4,dora****,빗속 셜리의 대사는 소름이 끼쳤다,10,1355,31,2019-01-13 11:42:00,0
5,새하얀저금통(nxj0****),정말 많은 여운이 남은 영화네요. 꼭 봐야 할  영화입니다,10,1292,41,2019-01-09 11:06:00,0
6,닮은살걀(yubi****),비고 모텐슨 형님 반지의 제왕에서 꽃미남 왕으로 열연하던게 엊그제 같은데 중년 마초역도 멋있잖아..,10,1024,21,2019-01-09 14:51:00,0
7,still(iamm****),"2019년 아카데미 작품상은 그린 북, 남우조연상은 마허샬라 알리!",10,953,30,2019-01-09 14:13:00,0
8,재희(gjwo****),경찰관에게 메리크리스마스 하는 장면..너무 조하 따뜻해..,10,900,10,2019-01-10 03:10:00,0
9,골디락스(spri****),고상함 뒤에 숨겨진 추악함이란.토니의 변화는 놀랍고 셜리의 용기는 존경스럽다.금년 첫 영환데 시작이 좋네요,8,890,24,2019-01-09 11:24:00,0
10,크리에이션(perf****),'우정' 과 '인종 차별' 모두를 아우르는 뛰어난 소재에 뒷받침하는 두 배우들의 뛰어난 '심리적 변화' 에 대한 연기의 디테일. 그리고 덤으로 '음악' 까지....,10,783,10,2019-01-09 18:14:00,0
11,Polo3036(alic****),재미있고 유머러스한 영화. 관람 후에 마음에 뭔가 좋은게 생기는 기분,10,731,9,2019-01-09 15:22:00,0
12,코주부육포(ffsa****),마지막 부분에 경찰관을 의심했던 나마저도 편견을 가지고 있었다..나부터 편견을 버려야 한다는 사실을 깨닫게되었다,10,688,10,2019-01-11 17:47:00,0
13,남기혁(carp****),"백인이지만 흑인의 삶을 살고 있는 토니,  흑인이지만 백인의 삶 처럼 살고 있는 셜리. 마침내 서로의 결핍을 충족하고 인종을 떠난 그들의 우정은 앙상한 가지만이 남은 혹한의 1월 우리의 가슴에 자그마한 모닥불을 놓아...",10,704,73,2019-01-13 12:30:00,관람객
14,hsgg****,입소문 타서 몇백만 관객 들어도 이상하지 않을 영화에요 보기 전엔 뻔해 보여도 실제는 전혀 그렇지 않습니다. 두 배우 연기와 음악 유머로 그냥 빨려들어갑니다. 꼭 보세요 벌써부터 수상내역이 화려한게 아카데미도 기대해...,10,568,7,2019-01-10 15:04:00,0
15,ekdn****,셜리의 슬픈눈이 계속 생각난다 ㅜㅜ,10,541,8,2019-01-11 15:24:00,0
16,ANNE(bfw1****),품격은 우아하지만 너무 차갑고 딱딱할 수 있다. 인간미는 편안하지만 후덥지근한 느슨함이 있다. 품격과 인간미를 서로 주고 받으며 성장하는 어른들을 위한 동화같은 영화. 잔잔하고 따뜻하다.,10,531,6,2019-01-11 11:20:00,0
17,꼬꼬초이(ksch****),정말 최고네요 꼭 보세요,10,421,8,2019-01-09 10:48:00,0
18,다마다마(brow****),"엉망진창인 한국 영화 만드는 사람들이 꼭 봤음 좋겠다. 사람 이야기는 이렇게 만들었음 좋겠다. 물론 이 영화의 플롯엔 허점이 많다. 그럼에도, 그것을 메우는 건 결국 사람에 대한 관심을 어떻게 녹여낼지에 대한 고민에...",10,418,19,2019-01-13 01:11:00,관람객
19,권수경(ksoo****),가슴찡하게 울리는  뭔가가 다가옵니다,10,375,5,2019-01-09 14:19:00,관람객
20,정찬영(jcy3****),"토니의 재치있는 말과 행동이 자칫 무거운 주제를 웃으면서 보게되고, 크리스마스에 나왔으면 좋았을 영화가 지금에서야 나와서 개봉한게 아쉬울따르",10,326,5,2019-01-09 18:10:00,0
21,에프(pale****),디테일이 좋고 음악도 흥겹다. 예측가능해도 거르지 말아야 할 영화,9,313,2,2019-01-09 12:32:00,0
22,gracejung(grac****),"최근 몇년동안 본 영화 중 최고의 수작,. 음악, 연기,메시지, 성장 스토리를 중심으로 dignity(품위) 만이 이길수 있다는 마허샬라 알리의 연기가 돋보이는 영화.. 2019년 새해 필수 관람 영화입니다. 또 보...",10,311,6,2019-01-11 09:47:00,0
23,양파(uiin****),"두번째로 등장시킨 경찰씬은 영리하고, 이미 선입견으로 전염된 관객을 관통한다",9,308,5,2019-01-16 18:48:00,0
24,고미(snow****),삶이 지치고 용기가 필요할 때 그린북을 펼쳐보세요.,8,307,14,2019-01-09 09:44:00,0
25,Ssoy(eouo****),런타임이 두시간 더 길어도 될것 같은 영화. 두 캐릭터의 캐미가 너무 좋아서 끝났는데 아쉽다. 더 보고싶다. 잔잔하지만 위트있고 기분좋은 영화. 억지로 웃기거나 억지로 뭔가를 하지않아서 좋았다.,10,278,4,2019-01-11 00:22:00,관람객
26,with****,진짜 너무 재밌다  이런영화가 필요해 이게 영화지,10,275,5,2019-01-09 14:20:00,0
27,김상열(yori****),돈 셜리가 흑인 주점 '오렌지 버드'에서 낡은 건반을 앞에 두고 클래식인 쇼팽을 연주할 때 정말 짜릿한  기분이었습니다. 다시 보고 싶네요.,10,258,4,2019-01-15 15:28:00,0
28,내맘속에그댄(tjre****),"35년 인생 첫 댓글 단다. 여자친구가 시사회 가자고 하여 봤는데.그냥 2019년 최고의 영화일듯 하다. 전세계 적으로 많이 봤으면 한다. 많이 느꼈으면 하고, 누구나 사람은 소중하다. 그 것뿐이다.",10,249,2,2019-01-14 10:35:00,0
