,nickname,text,score,like,dislike,time,watch_movie
0,중현(wdrt****),상영관 독점 심하네요 이런 취급받을 영화가 아닌데ㅋㅋ상영관 좀 늘려주세요,10,1984,54,2017-03-23 01:23:00,0
1,jung****,"오랜마에 정말 제대로된 영화 봤네요, 편집, 연출, 스토리 어디하나 빠질게 없네요 강추합니다.",10,1424,41,2017-03-23 00:51:00,0
2,봄햇살같은(risk****),올해 외화 중 최고 영화.인종차별과 남녀차별을 극복하고성장해가는 최고의 휴먼 드라마,10,1301,43,2017-03-23 08:52:00,0
3,230(movi****),"단호박 먹이는 언니들 덕분에 내 맘도 세상시원ㅋㅋㅋ 유쾌하게 풀어내서 정말 좋았던, 주변에 모두 추천하고 싶은 최고의 영화!",10,1148,47,2017-03-23 11:11:00,관람객
4,아모르파티(klpr****),끝날 때 다 같이 박수 좀 칩시다 짝짝짝,9,1067,63,2017-03-23 01:18:00,0
5,aggie89(agne****),"극중 알 해리스가 했던 말이 기억에 남습니다.'나사의 모든 직원들은 노란 소변을 본다' 이 대사 성별,인종,나이,직군에 상관 없이 모두 평등하다는 의미를 부여할수 있다니 말이죠!",9,912,33,2017-03-23 11:47:00,0
6,lony****,"진짜 단연코 올해 본 영화중에 최고... 정말 강추합니다. 근래에 이런영화들은 보기 드물었는데, 보는 내내 가슴속에서 무언가가 꿈틀거림을 느낌!! '좋은 영화'라는말은 이럴때 쓰는거 같아요.",10,790,21,2017-03-23 14:31:00,관람객
7,김수지(suji****),"편견, 차별없는 사회를 꿈꾸며",10,735,26,2017-03-23 11:18:00,관람객
8,허쉬(2bbb****),입소문 제대로 날 영화 꼭 보세요! 차별과 편견이 얼마나 쓸데 없는 건지!! 액션도 아닌데 통쾌했음,10,609,21,2017-03-23 20:10:00,관람객
9,블가리(whit****),"같은 여성으로써 자랑스럽고 감격스런 영화~ 인종,여성 차별에도 불구하고 캐서린,도로시,메리 모두 위대하고 존경받을만한 인물이다..배우들 연기도 최고~",10,605,66,2017-03-23 00:30:00,0
10,행복한빛(yeso****),실존인물을 과하게 포장안하면서도 존경하게 만드는 잔잔하면서 감동을 주는 그런영화,9,397,8,2017-03-24 01:14:00,관람객
